m2_terreno,cantidad_personas,orientacion,forma_terreno,cantidad_dormitorio,cantidad_bano,m2_cocina,m2_estar_comedor,m2_dormitorios_total,m2_banos_total,costo_estimado,tiempo_meses,layout_key_target
166,3,3,cuadrado,2,2,7.8,16.2,28.3,8.2,45356,7,2-dorm
104,2,1,angosto,2,1,5.6,7.7,27.2,3,28354,5,2-dorm
171,2,1,ancho,1,1,8.7,15.5,10,3.3,28102,4,1-dorm
435,4,3,irregular,2,1,7.8,37.6,27.6,3.7,68904,7,2-dorm
262,2,2,irregular,2,2,8.6,24,25.4,6.6,47533,7,2-dorm
389,4,2,irregular,3,2,10,34.4,32.6,6.5,79948,8,3-dorm-compacto
207,1,3,angosto,1,1,5.8,12.3,14.1,4.2,29417,4,1-dorm
318,4,1,angosto,3,1,12.2,37.2,27.3,3.7,76347,7,3-dorm-largo
409,2,4,angosto,2,1,6.6,29.2,26,4.5,57252,7,2-dorm
121,2,2,cuadrado,1,1,11.1,8.1,12.8,3.7,31035,5,1-dorm
203,2,4,irregular,2,1,11.1,13.6,26.1,3.9,46950,5,2-dorm
318,2,1,cuadrado,3,1,11.1,22.5,39.7,4.8,67282,7,3-dorm-compacto
279,3,2,cuadrado,3,2,10,26.5,33.9,9.4,52883,7,3-dorm-compacto
387,1,2,irregular,1,1,5.8,24.3,14.8,3.9,35792,5,1-dorm
259,1,4,irregular,1,1,6.5,16.3,11.1,3.5,29213,4,1-dorm
111,2,2,cuadrado,2,1,10.2,9.1,18.5,4.9,34656,4,2-dorm
188,1,1,angosto,1,1,6.8,14.5,13,3.3,33569,4,1-dorm
244,4,1,cuadrado,2,1,11,28.3,28.8,3.5,54679,5,2-dorm
110,4,1,cuadrado,3,3,11.5,12.3,44.3,11,60096,6,3-dorm-compacto
105,1,1,angosto,1,1,5.6,8,9,3.1,20656,4,1-dorm
179,2,1,cuadrado,2,2,6.5,11.5,18.1,7,42414,5,2-dorm
205,1,2,cuadrado,1,1,9,15.7,11.9,3.3,29147,4,1-dorm
384,4,3,cuadrado,3,2,7,36.5,44.4,7.2,70206,8,3-dorm-compacto
212,1,1,ancho,1,1,6.8,15.2,11.3,3.3,29678,5,1-dorm
349,2,3,ancho,1,1,9.3,26.2,12.2,3.9,47662,5,1-dorm
242,2,3,cuadrado,2,2,10.4,21.7,23.4,7.7,55322,6,2-dorm
148,3,1,irregular,2,1,7.8,13.3,28.4,4.5,36455,6,2-dorm
148,3,3,ancho,2,1,7.1,12.9,20.5,4.4,37101,4,2-dorm
363,4,4,angosto,3,1,6.7,42.4,29.7,4.9,80599,7,3-dorm-largo
279,2,2,irregular,1,1,6.8,19,13.6,3.1,37884,4,1-dorm
156,4,4,cuadrado,3,1,7.7,16.7,31.6,4.2,42867,5,3-dorm-compacto
274,1,2,irregular,1,1,8,16.2,12,4,27921,4,1-dorm
397,4,3,irregular,3,1,6.1,35.5,43.7,4.7,66408,9,3-dorm-largo
241,2,4,ancho,2,1,11,19.7,18.7,4.7,51034,6,2-dorm
141,1,2,irregular,2,1,8.3,9.4,21,3.4,29566,5,2-dorm
226,1,2,cuadrado,1,1,12.7,15.3,12.4,3.3,41526,5,1-dorm
283,3,2,irregular,2,1,7.9,27.1,22.4,4.3,52244,7,2-dorm
440,3,1,angosto,2,1,12.4,44.1,20.7,4.4,81066,7,2-dorm
206,4,4,irregular,2,1,5.4,22,19,4.1,34050,7,2-dorm
382,3,3,irregular,3,1,9.7,28.2,39.1,3.6,75715,8,3-dorm-compacto
300,3,3,angosto,2,1,7.4,25.3,21.2,4.8,47738,7,2-dorm
146,3,3,cuadrado,2,1,10,14.5,26,4.6,38460,6,2-dorm
319,1,2,ancho,1,1,8.5,18.1,11.2,4.3,29044,4,1-dorm
377,4,3,cuadrado,2,1,11.1,39.7,18.6,3.7,61870,7,2-dorm
214,3,1,cuadrado,2,1,7.7,18.6,28.9,4.3,54057,5,2-dorm
206,1,2,ancho,2,2,7.8,16.5,26.7,7.8,57780,7,2-dorm
374,4,1,angosto,3,3,5.6,42.1,30.6,10.9,82352,9,3-dorm-largo
258,2,1,irregular,1,1,9.6,16.8,9.5,4.7,31377,5,1-dorm
159,1,2,cuadrado,1,1,13.5,11.8,13.3,3.8,32596,5,1-dorm
269,4,2,angosto,3,3,10.7,28.3,39.2,10.6,80819,7,3-dorm-largo
406,1,1,ancho,1,1,10.6,31.3,14.6,3.2,41353,5,1-dorm
174,1,4,angosto,1,1,10,9.8,10.9,3.7,25029,5,1-dorm
202,3,4,irregular,2,2,5.6,19,21.7,6.3,47885,6,2-dorm
186,3,1,ancho,2,1,6.3,14.4,25,3.8,44478,4,2-dorm
300,4,3,cuadrado,2,1,11.5,35.2,23.1,4.9,52879,5,2-dorm
401,2,1,angosto,2,1,5.8,28.8,23.2,3.5,59317,7,2-dorm
394,1,1,angosto,1,1,7.9,25.7,11.7,3.1,41162,5,1-dorm
394,3,2,angosto,3,1,7,41,35.4,4.4,73303,8,3-dorm-largo
115,4,4,angosto,3,2,5.5,11.4,33.4,9.2,54445,7,3-dorm-largo
393,1,3,angosto,1,1,9.9,32.2,12.8,3.8,38857,5,1-dorm
217,4,1,ancho,2,1,8.7,18.8,26.4,4.7,51351,6,2-dorm
437,2,2,ancho,2,2,9.1,31.9,20.5,8,64258,7,2-dorm
263,1,1,irregular,1,1,7.8,17.5,14.3,3.1,37138,5,1-dorm
182,2,1,irregular,1,1,5.7,17.3,13.4,3.5,35244,5,1-dorm
131,3,2,ancho,3,1,7.2,13.5,41.8,3.7,54984,6,3-dorm-largo
412,2,1,irregular,2,1,6,34,19.8,3.7,52909,5,2-dorm
218,4,1,ancho,2,2,9,23.1,21.3,7.3,44117,5,2-dorm
174,4,2,ancho,2,2,7.5,20.5,18.2,8.5,50558,7,2-dorm
369,1,4,angosto,2,1,6.9,28.6,26.2,3.4,44041,5,2-dorm
341,3,4,ancho,2,1,13.4,32.7,23.3,4.5,72130,5,2-dorm
401,4,4,irregular,3,2,8.8,38.8,31.6,8.4,57065,9,3-dorm-compacto
376,4,3,cuadrado,2,2,7.9,38,26.1,9.8,71128,7,2-dorm
290,1,2,irregular,1,1,7.7,19,12.3,3.4,39706,4,1-dorm
450,3,4,angosto,3,1,10.5,39.5,31.4,5,63885,7,3-dorm-largo
314,1,1,ancho,2,2,12.8,16.6,25.3,8.6,49824,5,2-dorm
119,2,4,angosto,3,2,9,10.7,32.9,7.2,57434,6,3-dorm-largo
262,1,1,cuadrado,1,1,8.2,16.7,10.7,4.7,30070,5,1-dorm
192,3,2,irregular,2,1,5.6,17.2,20.8,3.7,42988,4,2-dorm
414,2,4,cuadrado,2,1,13.7,34.7,18.7,4.1,67140,7,2-dorm
449,2,1,cuadrado,2,1,7.6,42.6,23.1,4.1,67077,6,2-dorm
196,4,4,irregular,3,2,11.7,20,37.8,6.6,64411,7,3-dorm-compacto
118,2,2,cuadrado,2,1,10.5,7.5,18.8,3.9,32724,4,2-dorm
341,4,1,angosto,2,1,9.8,36.5,22.6,4.5,58366,6,2-dorm
391,4,4,ancho,3,2,6.2,43.6,34.7,8.5,87048,8,3-dorm-compacto
156,2,4,cuadrado,1,1,7.6,11.2,10.9,4.6,26523,5,1-dorm
104,2,2,angosto,2,1,5.8,7.9,28.3,3.2,39754,4,2-dorm
230,4,3,angosto,2,1,12,25.2,28.8,5,65860,5,2-dorm
437,3,3,irregular,2,1,7.9,39.9,22.4,3.9,68581,7,2-dorm
308,2,1,irregular,2,2,11.4,19.9,22.2,8.1,42498,6,2-dorm
337,3,4,cuadrado,2,1,8.6,35.3,26.8,4.9,74814,7,2-dorm
286,1,3,ancho,2,1,6.3,18.7,24.9,3.2,41410,5,2-dorm
290,4,1,ancho,2,1,11.4,28,29.8,3.3,54105,6,2-dorm
236,4,3,cuadrado,2,1,7.2,21.8,30,3.8,42293,7,2-dorm
386,3,1,ancho,2,1,12,30.7,29.3,3.6,51894,5,2-dorm
255,4,1,ancho,3,1,12.6,28.7,38,4.2,79785,9,3-dorm-compacto
291,4,4,cuadrado,3,2,8.8,32,29,7.1,58756,6,3-dorm-compacto
260,1,2,angosto,1,1,7.6,21.4,10.3,3.7,30778,4,1-dorm
371,1,1,ancho,2,1,13.8,19.1,23,3.1,42425,5,2-dorm
286,4,2,ancho,3,1,11.2,33.2,43.7,4.6,76361,8,3-dorm-largo
251,3,1,cuadrado,3,1,11.9,24.6,43.8,3.7,71864,9,3-dorm-compacto
393,1,1,cuadrado,1,1,12.1,25.4,14.9,4.2,45617,5,1-dorm
216,1,3,ancho,2,2,6.5,16.7,22.1,7.1,40186,6,2-dorm
197,3,1,cuadrado,2,1,8.2,16.9,29.1,3.9,46392,6,2-dorm
202,1,2,irregular,1,1,11,15,13.3,4.2,30231,5,1-dorm
326,2,4,angosto,2,1,10.3,28.7,27.2,3.8,52575,5,2-dorm
356,4,2,cuadrado,3,2,8.6,34,28.6,7,64877,7,3-dorm-compacto
133,2,4,ancho,2,1,12.1,11.5,28.4,3.3,40302,7,2-dorm
262,4,4,ancho,2,1,13,23.6,29.7,4.7,60905,7,2-dorm
238,2,2,cuadrado,2,1,7.1,18.1,29.4,4.3,56746,6,2-dorm
305,2,3,ancho,2,2,8.4,23.4,26.9,9,63614,5,2-dorm
347,4,1,angosto,3,3,6,38.2,36.3,11.2,74213,7,3-dorm-largo
313,1,4,irregular,2,1,7.2,22.1,25,4.8,39435,6,2-dorm
280,3,2,irregular,3,2,8.7,25,44,6.5,60372,8,3-dorm-largo
173,4,1,cuadrado,3,2,8.1,14.6,34.7,6.6,52648,5,3-dorm-compacto
334,1,1,irregular,2,1,11.3,25.1,20.1,3.3,51658,7,2-dorm
119,3,4,irregular,2,1,6.6,9.6,18.1,3.2,35870,5,2-dorm
294,3,2,irregular,3,1,5.9,23.1,33.8,3.4,45350,5,3-dorm-compacto
302,2,4,irregular,2,1,5.5,21.4,23.6,3.1,47421,5,2-dorm
364,2,1,ancho,1,1,7.7,29.6,13.1,3.1,48227,5,1-dorm
181,3,1,irregular,2,2,10,17,22.4,6.6,50133,5,2-dorm
392,3,4,angosto,2,1,7.4,38.9,19.3,3.9,51325,5,2-dorm
237,4,1,angosto,3,2,11.8,26.2,43.5,8.9,59327,7,3-dorm-largo
434,1,3,ancho,1,1,8.8,36.2,14.9,3.4,55694,6,1-dorm
230,2,1,cuadrado,2,1,8.5,17.5,25.6,3.2,44643,7,2-dorm
302,1,3,cuadrado,1,1,9.3,17.3,11,4.5,33465,4,1-dorm
344,2,1,cuadrado,2,1,6.4,24.8,30,3.3,50899,6,2-dorm
244,2,3,ancho,2,1,12.6,17.1,22.8,4.1,43428,6,2-dorm
194,4,4,irregular,3,1,9.7,16.4,39.4,3.1,45101,5,3-dorm-largo
131,2,3,irregular,2,1,9.7,10.6,19.1,4.9,32449,5,2-dorm
228,2,1,cuadrado,3,2,12.8,17.2,45,8.8,77240,9,3-dorm-compacto
182,3,1,ancho,2,1,8.3,16.5,29,3.8,43014,5,2-dorm
419,3,2,angosto,2,2,12.1,33.4,23.1,6.2,65897,7,2-dorm
411,3,2,angosto,2,1,12,38,21.6,4.9,57752,6,2-dorm
252,3,4,angosto,2,1,11.9,20.3,27.1,4.2,62798,5,2-dorm
182,3,2,irregular,2,2,9.3,14.7,23.8,8.4,43175,7,2-dorm
221,3,2,irregular,2,1,7.2,23.2,27.9,4.8,41962,5,2-dorm
179,4,2,ancho,2,1,11.2,17.2,24.6,4.6,46828,7,2-dorm
248,1,1,angosto,1,1,11.9,16.8,12.2,3.8,41793,5,1-dorm
388,4,4,cuadrado,3,2,14,39.3,35.9,8,87724,9,3-dorm-compacto
344,3,2,irregular,2,2,11.7,29.6,25,8.1,72615,6,2-dorm
145,2,2,ancho,2,1,13.1,10.5,25.5,3.2,51881,7,2-dorm
242,1,1,irregular,1,1,10.7,17.4,13.2,4.3,38189,5,1-dorm
166,2,2,cuadrado,3,1,13.6,11.7,44,3.3,48464,5,3-dorm-compacto
410,1,3,angosto,1,1,8.3,21.2,10.1,3.6,30542,4,1-dorm
128,2,3,cuadrado,2,2,7.1,9.3,24.1,6.5,41833,5,2-dorm
260,4,1,cuadrado,2,1,7.6,22.3,23.5,3,50756,5,2-dorm
378,2,1,ancho,2,1,9.8,28,21.2,3.1,43902,6,2-dorm
291,3,3,irregular,3,2,6.6,26.7,30.1,9.4,61221,5,3-dorm-largo
312,4,4,irregular,3,1,11.7,27.7,33.8,3.8,71534,5,3-dorm-compacto
177,2,3,cuadrado,2,1,11.7,13.1,19.8,4.9,41982,4,2-dorm
296,2,4,ancho,2,1,12.4,22.3,24.6,4,50944,7,2-dorm
268,4,2,irregular,3,1,7.9,23.6,44,3.6,68754,5,3-dorm-largo
245,2,4,cuadrado,2,1,11,18.6,30,5,48331,7,2-dorm
266,1,1,ancho,1,1,12.5,15.5,11.3,4.6,43287,4,1-dorm
107,2,3,ancho,2,1,8.2,7.3,26,3.9,40831,5,2-dorm
250,4,2,cuadrado,3,1,8.2,28.6,34.6,4.4,53882,7,3-dorm-compacto
228,1,1,irregular,1,1,6.1,15,10,3.1,26429,5,1-dorm
313,2,3,ancho,2,1,13.6,25.9,23.5,3,62856,6,2-dorm
288,1,1,ancho,2,1,11.5,15.5,27.1,4.6,39158,7,2-dorm
254,1,4,angosto,1,1,9.2,14.8,9.5,3.3,27845,5,1-dorm
281,1,4,irregular,2,1,11.4,19.7,28,3.1,60936,7,2-dorm
271,4,2,ancho,2,1,12.1,31,22.5,4.4,60571,7,2-dorm
241,1,2,irregular,2,1,6.2,19.7,19.6,5,42692,5,2-dorm
130,4,2,cuadrado,3,1,8.5,11.8,29.3,3.4,42031,6,3-dorm-compacto
101,3,4,cuadrado,2,1,6.7,7.7,23.3,3.9,34138,5,2-dorm
118,1,2,ancho,1,1,12.3,7.6,11.7,3.5,27256,4,1-dorm
255,1,4,ancho,1,1,8.2,21.4,13.5,4.6,32976,4,1-dorm
155,1,1,irregular,1,1,7.7,9.7,10.9,4.3,21566,4,1-dorm
297,1,1,angosto,1,1,7.4,21.1,11.8,4.8,36185,5,1-dorm
307,1,2,irregular,2,2,8,24.6,26.5,9.9,62790,7,2-dorm
273,2,1,angosto,2,2,11.8,20.6,28.5,7.3,61921,6,2-dorm
322,2,4,ancho,1,1,13.1,21.6,14.3,4.6,45202,7,1-dorm
254,4,4,irregular,2,1,10,28.7,25,3.7,54992,6,2-dorm
240,3,4,angosto,2,1,8.5,25.1,23.7,3.4,41040,6,2-dorm
299,4,4,angosto,3,1,10.2,26.1,40.9,3.7,61306,7,3-dorm-largo
267,2,3,cuadrado,2,1,10.7,24.2,26.5,4.2,44738,5,2-dorm
246,4,2,angosto,3,3,5.8,23.4,29.2,12.8,70774,5,3-dorm-largo
248,3,4,irregular,3,1,9.2,23.8,29.5,4.8,53441,5,3-dorm-largo
374,1,1,cuadrado,1,1,13.4,27.8,10.2,4.3,52516,5,1-dorm
124,2,4,cuadrado,2,2,6.7,10.5,29.1,9.4,44625,6,2-dorm
135,1,4,ancho,2,2,8.3,7.5,20.2,6.1,41636,4,2-dorm
217,3,3,irregular,2,1,8.8,21.9,21.2,3.1,41332,7,2-dorm
305,4,2,ancho,3,1,11.2,34.2,41.6,3.1,69221,7,3-dorm-largo
305,4,2,irregular,2,2,7.2,26.3,22,6.3,61384,7,2-dorm
449,3,2,angosto,2,1,10.4,35.4,27.1,3.5,54650,6,2-dorm
429,1,1,irregular,1,1,7.4,24.4,11.1,3.3,43513,5,1-dorm
128,4,2,irregular,3,2,8.3,14.4,36.1,9.1,45042,5,3-dorm-compacto
352,2,1,angosto,2,1,9.2,22.2,20.1,3.6,52294,7,2-dorm
241,4,1,angosto,3,1,11.4,23.7,36.3,4.3,56764,7,3-dorm-largo
388,2,2,angosto,3,1,10.4,31.3,35.2,3,76837,6,3-dorm-largo
273,3,2,angosto,2,1,9.7,24.3,27.2,4.1,52963,7,2-dorm
273,4,4,ancho,3,2,10.6,32.1,44.3,7.9,70720,8,3-dorm-largo
179,4,4,angosto,2,1,10.2,18.9,21.9,4.1,43176,6,2-dorm
140,3,4,angosto,2,2,9.9,14.3,24.7,7,51176,7,2-dorm
146,4,4,ancho,2,2,10.9,16.8,28.7,6.6,55554,6,2-dorm
280,4,4,cuadrado,2,2,12.4,25.7,20.3,8.4,56968,6,2-dorm
311,1,3,cuadrado,2,2,9.5,20.8,18.4,7.3,47225,7,2-dorm
372,2,4,ancho,2,1,8.7,32.6,30,4.3,53133,7,2-dorm
120,2,2,ancho,1,1,7.9,10.4,12.7,3.2,22806,4,1-dorm
315,3,3,angosto,3,1,6.5,30.8,35,4.2,58066,7,3-dorm-largo
350,2,4,angosto,2,1,8.4,25.6,28.8,3.3,46705,7,2-dorm
217,3,4,irregular,3,2,11,17.6,35.2,7.6,59874,5,3-dorm-compacto
315,3,4,irregular,2,2,7.1,30.6,23.8,8.3,52964,7,2-dorm
103,4,3,ancho,3,2,11.6,9.6,32.9,6.9,40926,5,3-dorm-largo
364,1,3,irregular,1,1,8.1,29.3,13.9,3.3,53660,7,1-dorm
357,3,2,irregular,2,1,8.5,34.8,20.5,4.1,47333,7,2-dorm
267,3,2,angosto,3,2,10.8,25.3,40.3,7,74887,9,3-dorm-largo
109,1,1,cuadrado,2,1,7.2,8.6,26.6,4.1,45221,4,2-dorm
376,1,1,ancho,2,1,8.1,30.9,28.8,3.6,56731,5,2-dorm
211,2,2,ancho,1,1,6.5,14.5,13.4,4.7,31000,5,1-dorm
190,3,4,ancho,3,2,11.1,18.8,35,6.5,66848,6,3-dorm-compacto
331,2,3,irregular,2,1,8.4,21.8,24.8,5,59773,6,2-dorm
441,4,2,cuadrado,3,2,7.4,50,40.8,7.2,76441,9,3-dorm-compacto
434,4,1,ancho,3,3,11.5,43.7,41.6,12.8,86231,7,3-dorm-largo
137,4,2,angosto,3,3,7.3,14.7,30.9,12.9,64191,7,3-dorm-largo
341,3,3,angosto,2,1,10.7,25.2,24.1,4.8,43271,7,2-dorm
182,3,4,cuadrado,2,2,12.6,16.5,27.5,9.9,44336,6,2-dorm
270,3,3,irregular,2,2,10.9,24.1,24.3,7.2,64838,5,2-dorm
435,1,3,angosto,1,1,8.4,35.2,11.4,4.3,40112,7,1-dorm
344,4,4,angosto,2,1,5.5,38.8,28.1,3.3,56557,7,2-dorm
221,4,1,cuadrado,2,1,11.2,20.6,29.4,3.4,57377,6,2-dorm
404,3,2,cuadrado,2,2,9.8,39.5,20.2,8.4,61207,7,2-dorm
403,4,3,cuadrado,3,1,10.4,42.8,28.3,3,81165,8,3-dorm-compacto
441,1,4,angosto,2,1,6.8,30.3,24.3,4.4,62026,7,2-dorm
175,2,3,ancho,2,1,10.1,16.6,27.5,3.2,49259,5,2-dorm
352,4,4,cuadrado,2,1,11.6,32.6,26.1,4.8,62499,6,2-dorm
297,2,3,angosto,2,2,7.3,27,26.3,9.9,66247,6,2-dorm
205,4,2,irregular,3,2,6.6,19.8,38.9,9,59914,5,3-dorm-compacto
336,3,4,angosto,3,2,7.8,32.6,35.7,6.2,57849,9,3-dorm-largo
448,1,2,irregular,1,1,5.6,30.4,14.1,4.6,49211,6,1-dorm
100,2,2,cuadrado,2,2,11.7,7.9,27.7,7.7,50579,6,2-dorm
248,2,2,irregular,2,1,9,19.7,23.5,4.2,51932,5,2-dorm
211,1,1,ancho,1,1,12.9,15.6,10.1,4.7,38028,5,1-dorm
181,3,1,irregular,2,2,7.5,14.9,28.8,8.5,48901,6,2-dorm
359,1,2,ancho,2,1,6.7,26.3,23.3,3.9,49793,7,2-dorm
447,2,4,angosto,2,2,7,39.8,29.3,8.4,61715,9,2-dorm
370,3,2,cuadrado,2,1,13.4,30.9,27.1,3,50598,6,2-dorm
368,1,3,ancho,1,1,13.2,26,13.8,4.9,47008,7,1-dorm
428,3,1,angosto,2,1,6.5,39.1,22.5,4.4,61321,6,2-dorm
336,4,3,cuadrado,3,2,6.9,33.5,38.8,6.1,74916,9,3-dorm-compacto
124,3,1,angosto,2,1,9.8,10,22,3.1,30082,5,2-dorm
288,1,4,irregular,1,1,6.1,20.3,10.9,3.9,36979,5,1-dorm
261,2,3,ancho,1,1,8.7,20.9,14.4,4.3,39534,4,1-dorm
343,1,3,cuadrado,1,1,10.4,28.6,13.6,4.1,51857,6,1-dorm
201,4,1,ancho,3,1,7.1,18.9,43.6,4.6,65503,6,3-dorm-largo
256,2,1,cuadrado,2,1,10.8,16.6,21.8,3.9,36127,5,2-dorm
266,2,2,cuadrado,2,2,11.7,24.5,18.4,9.9,58626,5,2-dorm
442,3,2,angosto,3,2,11.8,33.1,36.7,9.4,69649,9,3-dorm-largo
352,1,1,ancho,2,1,9.8,20.9,18.4,3.1,34508,7,2-dorm
222,4,2,irregular,2,1,11.4,23.2,25.1,5,43706,6,2-dorm
158,2,3,cuadrado,2,1,7.2,13.1,27.9,4.2,44485,7,2-dorm
101,2,1,ancho,1,1,7.6,9.4,12.7,4.8,30691,5,1-dorm
364,2,1,cuadrado,2,1,8.4,33.3,28.5,4.8,69867,7,2-dorm
209,4,4,angosto,3,2,9.6,19.3,34.6,6.7,66506,6,3-dorm-largo
126,1,3,irregular,2,1,6,8.5,21.7,3.1,33096,5,2-dorm
264,3,3,angosto,2,1,9.7,23.2,27.9,4.8,58252,5,2-dorm
172,4,1,irregular,3,1,8.7,18.7,39.8,3.1,68275,5,3-dorm-largo
302,4,4,irregular,2,1,10.3,26.1,21.7,4.5,56719,5,2-dorm
132,4,3,angosto,3,2,7.8,11.8,31.4,9.5,50287,6,3-dorm-largo
293,3,1,irregular,2,1,9.8,23.9,22.9,3.6,56315,6,2-dorm
256,2,4,angosto,1,1,9.6,17.5,10.5,4.5,37044,4,1-dorm
333,2,4,cuadrado,2,2,7.9,23.7,28.3,7.7,51219,5,2-dorm
352,1,3,irregular,1,1,10.1,27.1,14.2,4.5,51446,5,1-dorm
247,1,3,cuadrado,1,1,10.4,13.7,10.6,4.4,35277,5,1-dorm
143,3,2,cuadrado,2,1,13.2,14.9,18.9,3.2,41925,6,2-dorm
272,4,3,ancho,3,2,12.2,26.3,34.5,6.4,53619,7,3-dorm-compacto
421,4,2,ancho,2,2,10.7,46.8,26.9,8.2,67524,9,2-dorm
131,2,2,ancho,2,1,12.4,8.4,22.7,4,46555,4,2-dorm
277,4,2,angosto,3,2,7.9,31.1,35.1,7.6,54849,8,3-dorm-largo
390,2,3,angosto,2,1,6.2,30.8,21,3,59694,6,2-dorm
182,2,2,ancho,2,1,8,14.1,21.1,3.4,30554,4,2-dorm
196,2,3,irregular,1,1,7.8,17,9.3,3.6,26812,5,1-dorm
152,3,1,cuadrado,2,2,12.7,14,18.7,7.6,45930,6,2-dorm
136,4,3,ancho,3,2,6.3,12.3,37.8,6.9,45344,7,3-dorm-largo
187,4,3,cuadrado,2,1,6.3,16.9,26.9,3.8,36918,5,2-dorm
433,1,2,irregular,2,2,10.5,25.3,29.9,6.9,50484,7,2-dorm
368,3,2,irregular,2,1,9.4,37.5,26.1,3.3,75207,5,2-dorm
423,1,3,cuadrado,1,1,6.6,26.1,12.7,4.7,41930,7,1-dorm
148,3,2,cuadrado,2,2,9.6,11.6,28.8,8.7,43162,5,2-dorm
100,1,2,ancho,1,1,6.9,5.6,13.7,3.9,24680,4,1-dorm
115,2,3,angosto,1,1,8,8.5,14.8,3.3,23847,4,1-dorm
171,3,2,angosto,3,1,9.2,14.1,40.2,3.4,46807,5,3-dorm-largo
361,3,2,angosto,2,1,8,30.3,21.6,3,47752,6,2-dorm
280,1,1,ancho,1,1,11.1,21,13.9,3.6,43146,5,1-dorm
404,1,3,angosto,1,1,7,30.9,11.5,3,45329,7,1-dorm
390,1,3,angosto,1,1,7.4,22.8,13.7,4.9,42309,5,1-dorm
105,4,2,cuadrado,2,1,8.8,9.1,26.6,4.8,36541,4,2-dorm
364,2,1,angosto,2,1,12.3,33.2,20,3.4,66102,5,2-dorm
253,1,3,cuadrado,1,1,12.5,20.9,14.9,3.2,49162,5,1-dorm
214,3,1,irregular,3,1,11.9,20.1,41.2,4.7,65477,7,3-dorm-compacto
112,4,2,irregular,3,2,5.9,10,34.9,7.1,57187,6,3-dorm-compacto
282,1,4,ancho,2,1,10.9,22.3,20.3,4.6,52796,7,2-dorm
255,3,2,irregular,3,1,7.9,26.2,40.7,3.3,57949,7,3-dorm-compacto
340,2,2,irregular,1,1,7.8,32,9.2,4.8,43898,7,1-dorm
213,1,4,irregular,1,1,10.5,13.8,9.4,3.1,33434,5,1-dorm
374,2,2,angosto,2,1,5.7,30.9,21.8,3.7,45445,6,2-dorm
412,1,2,irregular,1,1,8.8,33.9,12.3,3.1,43875,5,1-dorm
127,4,1,angosto,3,2,11,14.3,42.5,9.1,58917,7,3-dorm-largo
363,4,1,angosto,2,2,6.2,32.3,21.6,6.1,44533,7,2-dorm
325,2,3,angosto,1,1,7.1,29.3,13.1,3.3,49134,5,1-dorm
429,3,3,angosto,2,1,11.1,44.7,27.8,3.7,75767,7,2-dorm
243,1,2,irregular,2,1,5.4,16.3,25.3,3.4,33004,5,2-dorm
377,1,2,irregular,1,1,7.3,23.5,10.1,4.9,29840,5,1-dorm
325,4,2,cuadrado,2,1,13.5,28.9,24.7,3.7,70019,7,2-dorm
358,2,2,irregular,2,2,10.4,23.1,23,6.3,49644,5,2-dorm
302,4,3,angosto,2,1,10.1,34.3,24.2,4,49021,5,2-dorm
303,4,2,ancho,2,1,12.8,28.3,24.7,4.5,60182,6,2-dorm
157,1,1,angosto,1,1,8.8,11.9,11.1,3.7,30570,4,1-dorm
297,1,2,cuadrado,2,2,13,16.1,26.9,8.8,53197,7,2-dorm
